                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.32227,                0.32313,                0.78112,                0.81298,                0.99928,                      1,                  0.995,                 0.9665,                0.99928,                      1,                  0.995,                  0.995,                0.32986,                0.21461,                0.34562,                0.86623,             0.00066538,             0.00066538,             0.00066538
                      2,                 0.2924,                0.21531,                0.27995,                0.79842,                0.99919,                      1,                  0.995,                0.93279,                0.99919,                      1,                  0.995,                0.98996,                0.40497,                0.38051,                 0.3371,                0.91063,              0.0012002,              0.0012002,              0.0012002
                      3,                0.26304,                0.18301,                0.22012,                0.79227,                0.99941,                      1,                  0.995,                0.94883,                0.99941,                      1,                  0.995,                  0.995,                0.35435,                 0.3522,                0.29356,                0.86428,               0.001603,               0.001603,               0.001603
                      4,                0.22772,                0.17376,                0.18962,                0.78116,                0.99947,                      1,                  0.995,                0.99367,                0.99947,                      1,                  0.995,                  0.995,                0.22082,                 0.1496,                0.19967,                0.80942,               0.001406,               0.001406,               0.001406
                      5,                0.22674,                0.17865,                0.18363,                0.78479,                0.99941,                      1,                  0.995,                0.99118,                0.99941,                      1,                  0.995,                  0.995,                0.26595,                0.17554,                0.21828,                0.82947,               0.001406,               0.001406,               0.001406
                      6,                0.20088,                0.15554,                0.16669,                0.77748,                0.99927,                      1,                  0.995,                0.99484,                0.99927,                      1,                  0.995,                  0.995,                0.20474,                0.13077,                0.23946,                0.80874,               0.001208,               0.001208,               0.001208
                      7,                0.17982,                0.14661,                 0.1492,                0.77026,                0.99946,                      1,                  0.995,                  0.995,                0.99946,                      1,                  0.995,                  0.995,                0.17053,                0.13181,                0.16575,                0.79221,                0.00101,                0.00101,                0.00101
                      8,                0.16674,                0.14144,                0.13709,                 0.7688,                0.99947,                      1,                  0.995,                  0.995,                0.99947,                      1,                  0.995,                  0.995,                0.16255,                0.12279,                 0.1451,                0.78984,               0.000812,               0.000812,               0.000812
                      9,                0.15117,                0.13452,                0.12452,                0.76616,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.16518,                 0.1193,                0.14352,                0.78931,               0.000614,               0.000614,               0.000614
                     10,                0.13994,                0.13018,                0.11312,                0.76484,                0.99948,                      1,                  0.995,                  0.995,                0.99948,                      1,                  0.995,                  0.995,                0.14502,                0.11986,                0.12043,                0.78035,               0.000416,               0.000416,               0.000416
