                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37633,                0.42237,                0.68482,                0.82188,                0.99757,                      1,                  0.995,                0.95584,                0.99757,                      1,                  0.995,                  0.995,                0.35941,                0.23893,                0.36105,                0.89238,             0.00066584,             0.00066584,             0.00066584
                      2,                 0.3488,                0.32397,                0.25785,                0.81375,                0.99924,                      1,                  0.995,                0.95229,                0.99924,                      1,                  0.995,                0.99163,                0.44332,                0.33294,                0.39024,                0.94765,              0.0012006,              0.0012006,              0.0012006
                      3,                  0.323,                0.30254,                0.22304,                0.80454,                0.99944,                      1,                  0.995,                0.96731,                0.99944,                      1,                  0.995,                  0.995,                0.29168,                0.23067,                0.24264,                0.83894,              0.0016033,              0.0016033,              0.0016033
                      4,                0.29984,                0.29646,                0.20521,                0.79721,                0.99945,                      1,                  0.995,                0.97735,                0.99945,                      1,                  0.995,                  0.995,                0.30657,                0.19899,                0.24535,                0.85447,               0.001406,               0.001406,               0.001406
                      5,                  0.283,                 0.2784,                0.19289,                0.79504,                      1,                      1,                  0.995,                0.99341,                      1,                      1,                  0.995,                  0.995,                0.23825,                0.17541,                0.20629,                 0.8181,               0.001406,               0.001406,               0.001406
                      6,                 0.2609,                 0.2685,                0.17255,                0.79014,                0.99947,                      1,                  0.995,                0.99495,                0.99947,                      1,                  0.995,                  0.995,                0.19116,                0.17829,                0.19588,                0.80121,               0.001208,               0.001208,               0.001208
                      7,                0.24586,                0.26148,                0.16278,                0.78628,                0.99925,                      1,                  0.995,                0.99416,                0.99925,                      1,                  0.995,                  0.995,                0.19952,                  0.134,                0.19268,                 0.8002,                0.00101,                0.00101,                0.00101
                      8,                0.22881,                0.25556,                0.14872,                0.78343,                0.99947,                      1,                  0.995,                  0.995,                0.99947,                      1,                  0.995,                  0.995,                 0.2059,                0.13619,                0.15722,                 0.8016,               0.000812,               0.000812,               0.000812
                      9,                0.21523,                0.24957,                0.13796,                0.78054,                0.99948,                      1,                  0.995,                  0.995,                0.99948,                      1,                  0.995,                  0.995,                0.18274,                0.11926,                0.15429,                0.79711,               0.000614,               0.000614,               0.000614
                     10,                0.20237,                0.24682,                 0.1267,                0.77816,                0.99948,                      1,                  0.995,                  0.995,                0.99948,                      1,                  0.995,                  0.995,                0.15252,                0.11999,                0.13745,                 0.7863,               0.000416,               0.000416,               0.000416
